name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Printed Chanderi Fabric-2358420,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Red & White,0.15,2358420,390 per meter,390,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2358420-(4).jpg, 2358420-(2).jpg, 2358420-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, distorted stripes, red, 2358420",no ,in_stock,published 
Printed Chanderi Fabric-2380620,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,White & Dark Pink,0.15,2380620,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2380620-(4).jpg, 2380620-(2).jpg, 2380620-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, dark pink, wihte, 2380620",no ,in_stock,published 
Printed Chanderi Fabric-2380120,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,White & Blue,0.15,2380120,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2380120-(4).jpg, 2380120-(2).jpg, 2380120-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, blue, wihte, 2380120",no ,in_stock,published 
Printed Chanderi Fabric-2380720,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,White & Red,0.15,2380720,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2380720-(4).jpg, 2380720-(2).jpg, 2380720-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, red, wihte, 2380720",no ,in_stock,published 
Printed Chanderi Fabric-2380420,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,White & Blue,0.15,2380420,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2380420-(4).jpg, 2380420-(2).jpg, 2380420-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, blue, wihte, 2380420",no ,in_stock,published 
Printed Chanderi Fabric-2381120,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,White & Green,0.15,2381120,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2381120-(5).jpg, 2381120-(2).jpg, 2381120-(3).jpg, 2381120-(4).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, green, wihte, 2381120",no ,in_stock,published 
Printed Cotton Cambric-4257519,Printed Cotton Cambric,Plain,44 Inches,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton,"Peach, Pink, white",0.15,4257519,160 per meter,160,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","4257519-(4).jpg, 4257519-(2).jpg, 4257519-(3).jpg","cottons, cotton prints, printed cotton, cotton cambric fabrics, cotton fabrics, cotton cambric prints, printed cotton cambric, fabric for kurti, fabric for blouses, fabric for tops, fabric for suits, damask prints, peach, pink, white, 4257519",no ,in_stock,published 
Printed Cotton Cambric-4558318,Printed Cotton Cambric,Plain,44 Inches,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton,Bright Yellow,0.15,4558318,160 per meter,160,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","4558318-(4).jpg, 4558318-(2).jpg, 4558318-(3).jpg","cottons, cotton prints, printed cotton, cotton cambric fabrics, cotton fabrics, cotton cambric prints, printed cotton cambric, fabric for kurti, fabric for blouses, fabric for tops, fabric for suits, mughal prints, bright yellow, 4558318",no ,in_stock,published 
Printed Cotton Cambric-2406418,Printed Cotton Cambric,Plain,44 Inches,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton,Dark Blue,0.15,2406418,210 per meter,210,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","2406418-(4).jpg, 2406418-(2).jpg, 2406418-(3).jpg","cottons, cotton prints, printed cotton, cotton cambric fabrics, cotton fabrics, cotton cambric prints, printed cotton cambric, fabric for kurti, fabric for blouses, fabric for tops, fabric for suits, mughal prints, dark blue, 2406418",no ,in_stock,published 
Printed Cotton Cambric-4257919,Printed Cotton Cambric,Plain,44 Inches,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton,Black,0.15,4257919,160 per meter,160,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","4257919-(4).jpg, 4257919-(2).jpg, 4257919-(3).jpg","cottons, cotton prints, printed cotton, cotton cambric fabrics, cotton fabrics, cotton cambric prints, printed cotton cambric, fabric for kurti, fabric for blouses, fabric for tops, fabric for suits, drops prints, 4257919",no ,in_stock,published 
Printed Cotton Cambric-6812317,Printed Cotton Cambric,Plain,44 Inches,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton,White & Grey,0.15,6812317,160 per meter,160,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","6812317-(4).jpg, 6812317-(2).jpg, 6812317-(3).jpg","cottons, cotton prints, printed cotton, cotton cambric fabrics, cotton fabrics, cotton cambric prints, printed cotton cambric, fabric for kurti, fabric for blouses, fabric for tops, fabric for suits, ikats prints, grey, white, 6812317",no ,in_stock,published 
Printed Wool Fabric-5129920,Printed Wool Fabric,Twill,38 Inches,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc",100% Wool,Multicolour,0.2,5129920,1020 per meter,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5129920-(4).jpg, 5129920-(2).jpg, 5129920-(3).jpg","woollen fabrics, printed woollen fabrics, printed woolen fabrics, woollen fabric prints, fabric for winterwear, fabric for winter suits, fabric for dresses, fabric for kurti, fabric for blouses, multioclour, 5129920",no ,in_stock,published 
Printed Cotton Cambric-4464517,Printed Cotton Cambric,Plain,44 Inches,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton,Bright Yellow,0.15,4464517,160 per meter,160,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","4464517-(4).jpg, 4464517-(2).jpg, 4464517-(3).jpg","cottons, cotton prints, printed cotton, cotton cambric fabrics, cotton fabrics, cotton cambric prints, printed cotton cambric, fabric for kurti, fabric for blouses, fabric for tops, fabric for suits, bright yellow, 4464517",no ,in_stock,published 
Printed Cotton Cambric-6818217,Printed Cotton Cambric,Plain,44 Inches,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton,Light Green & white,0.15,6818217,160 per meter,160,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","6818217-(4).jpg, 6818217-(2).jpg, 6818217-(3).jpg","cottons, cotton prints, printed cotton, cotton cambric fabrics, cotton fabrics, cotton cambric prints, printed cotton cambric, fabric for kurti, fabric for blouses, fabric for tops, fabric for suits, bandhani prints, 6818217",no ,in_stock,published 
Printed Wool Fabric-5128920,Printed Wool Fabric,Twill,38 Inches,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc",100% Wool,Multicolour,0.2,5128920,1020 per meter,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5128920-(4).jpg, 5128920-(2).jpg, 5128920-(3).jpg","woollen fabrics, printed woollen fabrics, printed woolen fabrics, woollen fabric prints, fabric for winterwear, fabric for winter suits, fabric for dresses, fabric for kurti, fabric for blouses, multioclour, 5128920",no ,in_stock,published 
Printed Cotton Cambric-2553817,Printed Cotton Cambric,Plain,44 Inches,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton,Light Green,0.15,2553817,300 per meter,300,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","2553817-(4).jpg, 2553817-(2).jpg, 2553817-(3).jpg","cottons, cotton prints, printed cotton, cotton cambric fabrics, cotton fabrics, cotton cambric prints, printed cotton cambric, fabric for kurti, fabric for blouses, fabric for tops, fabric for suits, beach prints, light green, 2553817",no ,in_stock,published 
Printed Cotton Cambric-4413918,Printed Cotton Cambric,Plain,44 Inches,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton,White,0.15,4413918,170 per meter,170,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","4413918-(4).jpg, 4413918-(2).jpg, 4413918-(3).jpg","cottons, cotton prints, printed cotton, cotton cambric fabrics, cotton fabrics, cotton cambric prints, printed cotton cambric, fabric for kurti, fabric for blouses, fabric for tops, fabric for suits, foil prints, golden foil prints, 4413918",no ,in_stock,published 
Suiting Fabric-4789120,Suiting Fabric,Plain,58 Inches,"Medium thickness fabric/ Suitable for making dresses, mens suits, skirts, formals, trousers, waist coat, blazers, coats andmore.",50% PES 50% Wool,Black,0.25,4789120,2190 per meter,2190,latest-fabrics | trending-fabrics | polyester-fabrics>solids | autumn-winter,"Mens suiting fabric suitable for making dresses, skirts, formal wear, mes suits, waist coats, blazers, trousers and more.","Mens suiting fabric is a polyester and wool on twill weave. The blend of polyester with wool contributes durability, resiliency and shape retention. The wet strength of the resultant fabric is also improved, viscose provides absorbency, soft texture, and variety of color. ","4789120-(4).jpg, 4789120-(2).jpg, 4789120-(3).jpg","suiting fabrics, mens suiting fabrics, fabric for mens suits, fabric for formals, fabric for trousers, poly wool fabrics, polyester wool fabrics, wool blend fabrics, plain fabrics, solids, black, 4789120",no,in_stock,published 
Block Prints-4412718,Cotton Cambric,Plain,44 Inches,"Lightweight & Soft/ Suitable for making dresses, skirts, tops, kurti, kurta, dupatta and more.",100% Cotton,White,0.15,4412718,160 per meter,160,cotton>prints-cotton | prints>hand-blocks | latest-fabrics | spring-summer,"Block printed cotton fabric, suitable for making dresses, skirts, tops, kurti, kaftan, kids wear, palazzo, cushions and more.","Block printed cotton is a cotton based plain weave lightweight & soft fabric. Woodblock printing on textiles is the process of printing patterns on fabric, by means of incised wooden blocks. It is the earliest, simplest and slowest of all methods of textile printing.","4412718-(4).jpg, 4412718-(2).jpg, 4412718-(3).jpg","blocks, hand blocks, cottons, cotton fabrics, cotton prints, printed cotton, cotton block prints, fabric for kurti, fabric for suits, fabric for dresses, fabric for kaftan, white, 4412718",no,in_stock,published 
